index_1based,block,SM_rep,eigenvalue_over_gE6sqMGsq
1,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
2,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
3,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
4,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
5,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
6,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
7,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
8,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
9,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
10,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
11,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
12,SM,"(8,1,0)+(1,3,0)+(1,1,0)",0.0000000000000000e+00
13,45/24,"(3,2,5/6)+c.c.",1.666666666666667e+00
14,45/24,"(3,2,5/6)+c.c.",1.6666666666666667e+00
15,45/24,"(3,2,5/6)+c.c.",1.6666666666666667e+00
16,45/24,"(3,2,5/6)+c.c.",1.6666666666666667e+00
17,45/24,"(3,2,5/6)+c.c.",1.6666666666666667e+00
18,45/24,"(3,2,5/6)+c.c.",1.6666666666666667e+00
19,45/24,"(3,2,5/6)+c.c.",1.6666666666666667e+00
20,45/24,"(3,2,5/6)+c.c.",1.6666666666666667e+00
21,45/24,"(3,2,5/6)+c.c.",1.6666666666666667e+00
22,45/24,"(3,2,5/6)+c.c.",1.6666666666666667e+00
23,45/24,"(3,2,5/6)+c.c.",1.6666666666666667e+00
24,45/24,"(3,2,5/6)+c.c.",1.6666666666666667e+00
25,45/(10+10bar),10+10bar components,4.93333333333333336e+00
26,45/(10+10bar),10+10bar components,4.9333333333333336e+00
27,45/(10+10bar),10+10bar components,4.9333333333333336e+00
28,45/(10+10bar),10+10bar components,4.9333333333333336e+00
29,45/(10+10bar),10+10bar components,4.9333333333333336e+00
30,45/(10+10bar),10+10bar components,4.9333333333333336e+00
31,45/(10+10bar),10+10bar components,4.9333333333333336e+00
32,45/(10+10bar),10+10bar components,4.9333333333333336e+00
33,45/(10+10bar),10+10bar components,4.9333333333333336e+00
34,45/(10+10bar),10+10bar components,4.9333333333333336e+00
35,45/(10+10bar),10+10bar components,4.9333333333333336e+00
36,45/(10+10bar),10+10bar components,4.9333333333333336e+00
37,45/(10+10bar),10+10bar components,4.9333333333333336e+00
38,45/(10+10bar),10+10bar components,4.9333333333333336e+00
39,45/(10+10bar),10+10bar components,4.9333333333333336e+00
40,45/(10+10bar),10+10bar components,4.9333333333333336e+00
41,45/(10+10bar),10+10bar components,4.9333333333333336e+00
42,45/(10+10bar),10+10bar components,4.9333333333333336e+00
43,45/(10+10bar),10+10bar components,4.9333333333333336e+00
44,45/(10+10bar),10+10bar components,4.9333333333333336e+00
45,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
46,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
47,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
48,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
49,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
50,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
51,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
52,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
53,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
54,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
55,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
56,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
57,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
58,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
59,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
60,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
61,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
62,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
63,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
64,16+16bar / 10+10bar,10+10bar components,3.1375672217930863e+00
65,16+16bar / 5+5bar,5+5bar components,6.7872983346207416e+00
66,16+16bar / 5+5bar,5+5bar components,6.7872983346207416e+00
67,16+16bar / 5+5bar,5+5bar components,6.7872983346207416e+00
68,16+16bar / 5+5bar,5+5bar components,6.7872983346207416e+00
69,16+16bar / 5+5bar,5+5bar components,6.7872983346207416e+00
70,16+16bar / 5+5bar,5+5bar components,6.7872983346207416e+00
71,16+16bar / 5+5bar,5+5bar components,6.7872983346207416e+00
72,16+16bar / 5+5bar,5+5bar components,6.7872983346207416e+00
73,16+16bar / 5+5bar,5+5bar components,6.7872983346207416e+00
74,16+16bar / 5+5bar,5+5bar components,6.7872983346207416e+00
75,neutral 45+1,"two (1,1,0)",1.0000000000000000e+01
76,neutral 45+1,"two (1,1,0)",1.6666666666666664e+01
77,neutral 16+16bar,"two (1,1,0)",2.0211694422987643e+00
78,neutral 16+16bar,"two (1,1,0)",1.0021169442298763e+01
